"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U12";"E D097OC1";1;"E_D097OC1";;;
2;"K1";"INKPLATE TEST HEADER";1;"Inkplate_TP";;;
3;"R32";"0603R";1;"2k49";;;
4;"D5,D4,D10,D2";"SOD-323";4;"BAT20J";;;
5;"R41,R39,R30,R25,R6,R36,R40,R45,R5,R38,R43,R31,R7,R44";"0603R";14;"100k";;;
6;"C8,C5,C10";"0603C";3;"10u-GRM188R61E106KA73J";;;
7;"K13,K36,K47,K38,K37,K40,K29,K49,K18,K45,K8,K23,K22,K34,K5,K17,K6,K41,K15,K26,K31,K48,K35,K43,K33,K42,K25,K51,K27,K20,K21,K32,K46,K16,K9,K19,K50,K14,K52,K30,K24,K39,K44,K28,K7";"HEADER_MALE_1X1_Inkplate";45;"HEADER_MALE_1X1_Inkplate";;;
8;"C55,C54,C52,C4,C53,C3,C1,C12,C51,C56,C9,C2,C11,C7,C6,C13";"0805C";16;"4u7-TMK212AB7475KG-T";;;
9;"D9";"LTST-S270GKT";1;"0603LED_SIDE";;;
10;"C15,C14";"0603C";2;"2u2-GRM188R61E225MA12D";;;
11;"S1";"SK-3296S-01-L1";1;"SK-3296S-01-L1";;;
12;"D8";"0402LED";1;"RED";;;
13;"K3";"easyC-connector";1;"easyC-SMD";;;
14;"Q10,Q6,Q5";"SOT-23-3";3;"PMOS";;;
15;"R21";"0603R";1;"0R";;;
16;"R35,R28,R20,R37,R24,R23";"0603R";6;"1k";;;
17;"R13,R15";"0603R";2;"1M";;;
18;"K4";"JST-2pin-SMD";1;"JST-2pin-SMD";;;
19;"Q9,Q7";"SOT-23-3";2;"SSM3J358R,LF";;;
20;"C35,C34";"0603C";2;"12p";;;
21;"R9,R12,R11,R10,R8";"0603R";5;"4k7";;;
22;"L1";"1515L";1;"LQH44PN4R7MP0L";;;
23;"R22";"0603R";1;"47k";;;
24;"C30,C29,C23,C33,C41,C50,C20,C48,C36,C22,C43,C38,C47,C42,C39,C44,C32";"0603C";17;"100n";;;
25;"R48,R4,R1,R26,R47,R27,R42";"0603R";7;"10k";;;
26;"C18,C19";"0603C";2;"100n-AC0603KRX7R8BB104";;;
27;"D12,D11";"M4_DIODA";2;"M4_DIODA";;;
28;"C26,C31,C25,C37,C46,C28";"0603C";6;"2u2";;;
29;"F1";"1206FUSE";1;"1206FUSE-500mA";;;
30;"Q2,Q3,Q8";"SOT-23-3";3;"NPN";;;
31;"R33";"0603R";1;"47R";;;
32;"U8";"SN74LVC1G34DBV";1;"SN74LVC1G34DBV";;;
33;"H3,H1,H2,H4";"Standoff_M3";4;"Standoff_M3";;;
34;"U7";"PCF85063A";1;"PCF85063A";;;
35;"K2";"U262-161N-4BVC11";1;"U262-161N-4BVC11";;;
36;"PAD4,PAD9,PAD1,PAD5,PAD8,PAD3,PAD2";"PAD_4x4";7;"PAD_4x4";;;
37;"U11,U9";"PCAL6416AHF,128";2;"PCAL6416AHF,128";;;
38;"C27,C21,C45";"1206C";3;"10u";;;
39;"SW2,SW3";"K2-1114SA-A4SW-06";2;"K2-1114SA-A4SW-06";;;
40;"U5";"TSSOP-14";1;"MC14093BDTR2G";;;
41;"JP2,JP3,JP5,JP4,JP6";"SMD_JUMPER_3_PAD_CONNECTED_LEFT_TRACE";5;"SMD_JUMPER_3_PAD_CONNECTED_LEFT_TRACE";;;
42;"R16";"0603R";1;"52k3-RC0603FR-0752K3L";;;
43;"Q1";"SOT-23-3";1;"DNP";;;
44;"D6,D7";"SOT-23-3";2;"BAT54S";;;
45;"K11";"HYC77-TF09-200";1;"HYC77-TF09-200";;;
46;"C17,C16";"0603C";2;"10n-AC0603KRX7R8BB103";;;
47;"D3,D1";"SOD-323-2";2;"CUS10F30,H3F";;;
48;"C24,C49";"2917C";2;"DNP";;;
49;"R18,R17";"0603R";2;"5k1";;;
50;"JP1";"SMD_JUMPER";1;"SMD_JUMPER";;;
51;"U1";"VQFN-49";1;"TPS65186RGZR";;;
52;"U3";"SOP-16";1;"CH340C";;;
53;"U4";"SOT-23-5";1;"MCP73831T";;;
54;"R2";"0603R";1;"NTC-NCP18XH103F03RB";;;
55;"R14";"0603R";1;"47k5-RC0603FR-0747K5L";;;
56;"Q4";"SOT-23-3";1;"NMOS";;;
57;"R46";"0603R";1;"330R";;;
58;"R19,R34";"0603R";2;"DNP";;;
59;"L2";"NR4012";1;"NR4012T2R2M";;;
60;"X1";"ABS07AIG-32.768KHZ-7-D-T";1;"7LC32768F12UC";;;
61;"C40";"0603C";1;"100p";;;
62;"SW1";"YTSA007A0151803B";1;"YTSA007A0151803B";;;
63;"U6";"TPS7A2633DRVR";1;"TPS7A2633DRVR";;;
64;"K10";"CR2032-BS-6-1";1;"CR2032_BS-6-1";;;
65;"R29";"0603R";1;"510k";;;
66;"R3";"0603R";1;"43k-RC0603FR-0743KL";;;
67;"K12";"SFV33R-1STE9HLF";1;"SFV33R-1STE9HLF";;;
68;"U2";"SOT-23-5";1;"TPS3840PL27DBVR";;;
69;"U10";"ESP32-WROVER";1;"ESP32-WROVER";;;
